Club,Club_Position
Arka Gdynia,Sub
VfL Bochum,Sub
SKN St. Pölten,Sub
San Juan,Res
U.N.A.M.,Res
Águilas Doradas,Sub
FC Thun,LM
La Spezia,Sub
Kaiserslautern,Res
Cracovia,Sub
Melbourne City,Sub
Stade Lavallois,Res
Stade Lavallois,Res
1. FC Köln,Sub
Wisła Płock,Sub
Leicester City,Res
MK Dons,CAM
Angers SCO,Res
Middlesbrough,Res
GFC Ajaccio,Sub
Crystal Palace,Res
Deportes Temuco,Res
Silkeborg IF,Sub
AC Horsens,RCM
Crystal Palace,Res
Cortuluá,RB
HJK Helsinki,Sub
HJK Helsinki,Sub
HJK Helsinki,Sub
HJK Helsinki,Sub
Patronato,Res
Seongnam FC,Sub
West Ham,Res
KV Oostende,Res
Sint-Truiden,Res
Atlas,Res
Uni. de Chile,Res
Nîmes Olympique,Sub
IFK Göteborg,GK
América,Sub
Sligo Rovers,Sub
Patriotas,Sub
Águilas Doradas,Sub
SK Brann,Sub
Junín,Sub
Spurs,Res
Ulsan Hyundai,Sub
Tigre,Res
Brentford,Res
Fortaleza FC,RS
NY Red Bulls,Res
GwangJu FC,LCB
Ventforet Kofu,Sub
Ventforet Kofu,Res
Avispa Fukuoka,Sub
Avispa Fukuoka,Sub
Kashiwa Reysol,Sub
Avispa Fukuoka,Sub
Avispa Fukuoka,Sub
Avispa Fukuoka,GK
Sanfrecce Hiroshima,Sub
Kashima Antlers,Sub
FC Tokyo,Res
Yokohama F. Marinos,LDM
Omiya Ardija,Res
Omiya Ardija,Res
Aarhus GF,Sub
Sagan Tosu,Sub
Al Taawoun,Sub
Banfield,Sub
Gamba Osaka,Res
Albirex Niigata,Sub
Yokohama F. Marinos,RB
Nagoya,LB
Vegalta Sendai,Sub
Nagoya,RM
Al Wehda,CM
Spurs,Res
CD Antofagasta,Sub
Esbjerg fB,Sub
Central Coast,Sub
Cracovia,Res
Columbus Crew SC,Res
Finn Harps,LCM
Atlético Huila,Res
SJ Earthquakes,Sub
Melb. Victory,Sub
Suwon Bluewings,Sub
Brighton,Res
Sint-Truiden,Res
Derry City,Sub
Houston Dynamo,Sub
Odense BK,Sub
Fortaleza FC,Sub
Grasshopper,Sub
Brisbane Roar,Sub
Finn Harps,RB
Blackpool,Sub
Luton Town,Sub
SC Bastia,Res
Gillingham,Sub
Aalborg BK,Sub
Melb. Victory,Sub
Shrewsbury,Res
Molde FK,Sub
Newell's,Res
Kalmar FF,Sub
Spurs,Res
CD O'Higgins,Res
Derby County,Res
Sunderland,Res
Benevento,Sub
Ponte Preta,Sub
Cruzeiro,Sub
Greuther Fürth,Res
West Ham,Res
Al-Ettifaq,Sub
Kalmar FF,Sub
LA Galaxy,Sub
Leyton Orient,LS
Jagiellonia,Res
Antalyaspor,Res
Colchester,RCB
Audax Italiano,Res
FC Lugano,LB
Trapani,Res
Sporting KC,Sub
Barnet,Res
Doncaster,LB
Fulham,Sub
Fulham,Res
América,Res
Vélez Sarsfield,Res
VfL Bochum,Sub
CA Talleres,Res
IF Elfsborg,Sub
Free Agents,Res
Tromsø IL,Sub
Strømsgodset IF,Sub
Valenciennes FC,Sub
FC Augsburg,Res
Plymouth Argyle,Sub
Le Havre AC,Sub
Royal Mouscron,Res
Gillingham,Res
F. Düsseldorf,Sub
CD Palestino,Sub
Bor. Dortmund,Res
SC Freiburg,Res
Suwon FC,RW
GwangJu FC,Sub
FC Nordsjælland,Res
Wolves,Res
Crotone,Res
AD Alcorcón,Res
Galatasaray,Res
Sligo Rovers,RB
FC Ural,Sub
Blackpool,Sub
Djurgårdens IF,Sub
Everton,Res
Deportivo Pasto,Sub
Chesterfield,Res
Envigado,Res
Whitecaps FC,Sub
BK Häcken,Sub
Atlético Huila,LB
Uni. Concepción,Res
St. Pats,LCB
Cortuluá,Sub
Wanderers,Res
Chicago Fire,Sub
Malmö FF,Res
Kilmarnock,LB
Hammarby IF,Sub
Finn Harps,RCB
Leeds United,Res
Pescara,Res
Spurs,Res
FC Midtjylland,Res
Charlton Ath,Sub
Al Fateh,Sub
Montreal Impact,Sub
CD Huachipato,Sub
Carlisle United,Sub
Gillingham,Sub
Boyacá Chicó,Sub
Cheltenham Town,RS
FC Nordsjælland,Sub
Brescia,Sub
Motherwell,Sub
Wycombe,Sub
IF Elfsborg,Sub
Austria Wien,Sub
Hamilton,Sub
Deportivo Cali,RB
Crawley Town,Sub
Patriotas,Sub
Hull City,Res
Everton,Res
Cheltenham Town,CB
Sp. Charleroi,Res
FC St. Pauli,Res
Cork City,Sub
Cambridge Utd,LDM
SK Sturm Graz,Sub
Free Agents,Res
ES Troyes AC,Res
AC Ajaccio,Sub
FK Bodø/Glimt,Sub
Yeovil Town,RCB
Sydney FC,Sub
Shrewsbury,Sub
Colorado Rapids,Sub
Viking FK,RCB
St. Pats,Sub
Yeovil Town,Sub
St. Pats,Sub
Al. Petrolera,Sub
Newcastle Jets,Res
Doncaster,Sub
AS Nancy,Res
Cortuluá,Sub
Leicester City,Res
Stevenage,Sub
AC Horsens,Sub
Sheffield Utd,Res
Al Taawoun,Sub
Brescia,Res
Wycombe,Sub
Partick Thistle,RCB
Adelaide United,Sub
CD Huachipato,Res
Derry City,Sub
Sounders FC,Sub
Odds BK,Sub
Gillingham,Res
Depor. Iquique,Sub
Deportes Tolima,Sub
Al. Petrolera,Res
Sheffield Wed,Res
AFC Wimbledon,Res
Audax Italiano,Res
Longford Town,RM
Cheltenham Town,Sub
Vercelli,Sub
Carpi,Sub
Adelaide United,Sub
Lyngby BK,Sub
Sangju Sangmu,Sub
D.C. United,Sub
Leyton Orient,Sub
Motherwell,Res
Fleetwood Town,Res
Al-Ettifaq,Sub
Querétaro,Res
Odense BK,Sub
Tromsø IL,Sub
Aalborg BK,Res
Perth Glory,Sub
Central Coast,Sub
St. Pats,RB
Cork City,Sub
Exeter City,Sub
Accrington,CAM
Finn Harps,LW
Bray Wanderers,RB
LA Galaxy,Res
Randers FC,Sub
Hamilton,Res
Galway United,LM
Oldham Athletic,RS
Falkenbergs FF,Sub
Bray Wanderers,LCM
Crawley Town,Sub
Galway United,RCM
Perth Glory,Sub
Bohemian FC,Sub
Kashima Antlers,Res
Al Taawoun,Sub
Grimsby Town,LB
Newport County,LCM
Dundalk,Sub
US Orléans,Sub
Galway United,Sub
Bray Wanderers,Sub
Wisła Płock,Sub
Central Coast,Sub
SKN St. Pölten,Sub
Newcastle Jets,Sub
Seongnam FC,Res
Lechia Gdańsk,Sub
Newport County,RWB
Rochdale,Res
Helsingborgs IF,Sub
Colorado Rapids,Res
Jeonnam Dragons,Res
Jeonnam Dragons,Res
SJ Earthquakes,Res
1. FC Heidenheim,Res
Valenciennes FC,Res
Orlando City,Res
CD Palestino,Res
Chicago Fire,Res
FC Tom Tomsk,LB
FC Tom Tomsk,Res
La Equidad,Res
Tigres,Res
Kawasaki Front.,Res
Envigado,Sub
Águilas Doradas,RB
Carpi,Res
Austria Wien,Res
Perugia,Sub
Vegalta Sendai,LM
Estudiantes,Sub
Cheltenham Town,LCB
Çaykur Rizespor,Res
Vercelli,Sub
Hamburger SV,Res
FC Tom Tomsk,Sub
Yokohama F. Marinos,Res
Sanfrecce Hiroshima,Res
Tromsø IL,RS
Houston Dynamo,Sub
San Lorenzo,Res
RC Strasbourg,Res
Montreal Impact,Sub
Portland,Sub
Galatasaray,Res
Belgrano,Res
Patriotas,LCB
Pohang Steelers,Res
Aytemiz Alanyaspor,Res
Real Salt Lake,Sub
Belgrano,Res
FC Nantes,Res
FC Midtjylland,Sub
Atlético Huila,Sub
Sanfrecce Hiroshima,Sub
Jagiellonia,Res
Rosario Central,Sub
Brentford,Res
Hertha BSC,Res
Jaguares,LDM
Kaiserslautern,Res
Aarhus GF,Sub
Legia Warszawa,Sub
Real Salt Lake,Sub
Córdoba CF,Res
EA Guingamp,Res
Godoy Cruz,Res
Hull City,Res
Valenciennes FC,Res
US Orléans,Sub
Al Ittihad,Sub
Sarandí,Res
Vålerenga Fotball,Sub
Vålerenga Fotball,Res
Guadalajara,Res
CD O'Higgins,Sub
Spal,Res
Deportes Temuco,Sub
Salerno,Sub
MK Dons,Sub
MK Dons,Res
Al Batin,LCB
Unión Española,Res
Go Ahead Eagles,Res
Go Ahead Eagles,Res
Al Wehda,Res
CD Everton,Res
Willem II,Res
Krylya Sovetov,Res
SCR Altach,RM
FC Lugano,Sub
Spal,Res
Sport. Lokeren,Res
Admira Wacker,Sub
Willem II,Res
SV Darmstadt,Res
Uni. Católica,Sub
KVC Westerlo,Sub
Örebro SK,Sub
Royal Mouscron,Res
Crawley Town,Sub
Shonan Bellmare,Sub
Nagoya,Sub
Bristol City,Res
F. Düsseldorf,Sub
Perth Glory,Sub
FC Lausanne,Sub
Eint. Frankfurt,Res
Aalborg BK,Sub
AC Horsens,Sub
Dynamo Dresden,Res
West Ham,Res
FC Midtjylland,Sub
Bournemouth,Res
Bournemouth,Res
Bahía Blanca,Res
Bahía Blanca,Res
RB Leipzig,Res
Al Nassr,Res
FC Lugano,Sub
FK Bodø/Glimt,RW
Lazio,Sub
KVC Westerlo,Res
Bologna,Sub
Odds BK,Sub
FC Tokyo,Res
Bolton,Sub
Helsingborgs IF,Sub
Tigre,Sub
Coventry City,Res
CD Palestino,Sub
GwangJu FC,Res
SJ Earthquakes,Res
NYCFC,Sub
Brentford,Res
Pohang Steelers,Sub
San Luis,Sub
Unión,Res
Tigre,Sub
Djurgårdens IF,Res
Ventforet Kofu,Sub
Ventforet Kofu,Sub
Ventforet Kofu,GK
Kashiwa Reysol,Res
Sanfrecce Hiroshima,Res
FC Tokyo,Res
Iwata,RB
Sagan Tosu,Sub
Al Shabab,Sub
Tigre,Res
Shonan Bellmare,Sub
Shonan Bellmare,Sub
Omiya Ardija,Sub
Nagoya,Sub
IK Start,Sub
Nagoya,Sub
Envigado,Sub
Peterborough,Res
Grimsby Town,Sub
Wexford Youths,LS
OGC Nice,Res
Fortaleza FC,CAM
Malmö FF,Sub
Peterborough,Sub
Jagiellonia,Sub
Orlando City,Sub
Al Qadisiyah,Sub
Kilmarnock,Sub
Bristol City,Res
América,Res
CD Huachipato,Sub
Galway United,LCB
Sligo Rovers,LCM
Deportivo Cali,Res
Kalmar FF,Sub
Stabæk Fotball,Sub
Stade Brestois,Sub
Fleetwood Town,Sub
Well. Phoenix,Sub
Chelsea,Res
Sunderland,Res
Charlton Ath,Res
Rosenborg BK,RB
Stevenage,Sub
Valenciennes FC,Sub
Molde FK,Sub
Valenciennes FC,Sub
Cruzeiro,Sub
Krylya Sovetov,Sub
RB Salzburg,Res
CD Huachipato,Res
Al Fateh,LB
CD O'Higgins,Res
SV Ried,Sub
Al Fateh,CAM
Sligo Rovers,Sub
IFK Göteborg,Sub
Randers FC,Sub
San Luis,Sub
Hartlepool,Sub
Fulham,Sub
Fulham,Res
Helsingborgs IF,Sub
Inverness CT,Sub
Sport. Lokeren,Res
AJ Auxerre,Res
Aalborg BK,Sub
Aarhus GF,Sub
FC Thun,Sub
BSC Young Boys,Sub
Braunschweig,Sub
FC Luzern,Sub
Al Khaleej,Sub
Envigado,Res
Al. Petrolera,Sub
Uni. Católica,Res
Rotherham Utd,Res
Leicester City,Res
Notts County,Sub
Aalesunds FK,Sub
Stabæk Fotball,Sub
Al Taawoun,Res
CD Palestino,Res
Stade de Reims,Res
Al Shabab,GK
Terek Grozny,Res
Derry City,LM
Jeonbuk Hyundai,Res
Junín,Res
Silkeborg IF,Sub
Banfield,Res
Atlético Huila,Res
Gillingham,Res
Swindon Town,Res
Djurgårdens IF,Sub
KV Mechelen,Res
Partick Thistle,Sub
Motherwell,Res
FC St. Pauli,Sub
Jönköpings Södra IF,Sub
Motherwell,Sub
Envigado,Sub
Longford Town,ST
Notts County,LB
Sydney FC,Sub
Al Khaleej,Sub
Norwich,Res
Zagłębie Lubin,Res
La Equidad,Sub
Charlton Ath,Res
Accrington,Sub
AJ Auxerre,Sub
Fiorentina,Res
Adelaide United,Sub
Aberdeen,Sub
Stoke City,Res
Novara,Res
Hamilton,RCM
CD O'Higgins,Sub
Greuther Fürth,Res
Korona Kielce,Sub
SCR Altach,Sub
Brøndby IF,LB
AFC Wimbledon,Sub
Cambridge Utd,Sub
Bor. Dortmund,Res
Stade Lavallois,Res
Al Khaleej,LCM
IF Elfsborg,Sub
Sogndal,Sub
Barnsley,Res
Crewe Alexandra,LW
FC Nordsjælland,Sub
Stoke City,Res
FC Vaduz,Sub
Silkeborg IF,Sub
Admira Wacker,Sub
D.C. United,Res
Falkenbergs FF,Sub
FC Lausanne,Sub
Carpi,Sub
Novara,Sub
Odense BK,Sub
Hertha BSC,Res
SønderjyskE,Sub
Finn Harps,RW
Bohemian FC,RCB
Well. Phoenix,Sub
Morecambe,Sub
Cork City,Sub
León,Res
Bristol Rovers,GK
Longford Town,RCM
Liverpool,Res
Morecambe,Sub
Al Ittihad,Res
Trapani,Sub
Partick Thistle,Sub
Swindon Town,Sub
Derry City,Sub
Depor. Iquique,Sub
Morecambe,ST
León,Res
Wigan Athletic,Sub
Swindon Town,LCB
Bohemian FC,Sub
Arsenal Tula,Res
Colchester,Sub
Al Fateh,RDM
Korona Kielce,Sub
Shrewsbury,Sub
Barnet,Sub
MK Dons,Res
Ruch Chorzów,Sub
Al Khaleej,Sub
Kalmar FF,Sub
Novara,Sub
Al Fateh,Sub
Al Wehda,Sub
Sampdoria,Res
Motherwell,Sub
Al Faisaly,Sub
Melb. Victory,Sub
FK Bodø/Glimt,Sub
Al Faisaly,Sub
Al Faisaly,Res
Hartlepool,Sub
Bray Wanderers,Sub
Cardiff City,Res
Finn Harps,Sub
Sligo Rovers,Sub
Górnik Łęczna,Sub
Sligo Rovers,Sub
Accrington,Sub
Finn Harps,Sub
Lillestrøm SK,Sub
Dundalk,Res
Longford Town,Sub
Urawa Diamonds,Sub
Bray Wanderers,Sub
Newport County,Sub
FC Lugano,RB
FC Rostov,Sub
Arsenal Tula,RCB
Jeonbuk Hyundai,GK
Free Agents,Res
Longford Town,RCB
Longford Town,LB
Morecambe,CAM
FC Lugano,Sub
Esbjerg fB,Sub
Oxford United,Res
Finn Harps,Sub
GwangJu FC,Res
GwangJu FC,Res
Al Wehda,Sub
Jeonnam Dragons,Res
Bahía Blanca,Sub
La Equidad,Res
Grasshopper,Res
Grasshopper,Res
Vålerenga Fotball,Res
Deportes Tolima,Res
FC Tom Tomsk,Res
CD Huachipato,Res
Kayserispor,Res
Deportivo Cali,Res
Envigado,Res
Envigado,LM
Once Caldas,Sub
Águilas Doradas,Res
Pescara,Res
NY Red Bulls,Res
Standard Liège,Res
Chicago Fire,Res
CD Everton,Res
Swindon Town,Sub
D.C. United,Res
Kashiwa Reysol,Sub
FC Tom Tomsk,GK
Real Salt Lake,LCB
SJ Earthquakes,Sub
NYCFC,Sub
Atlético Huila,Sub
Deportivo Cali,Res
Portland,Res
Gillingham,Res
BK Häcken,Sub
Stade Rennais,Res
Belgrano,Sub
Free Agents,Res
Lillestrøm SK,RB
RB Salzburg,Res
AS Saint-Étienne,Res
Dynamo Dresden,Res
Cortuluá,Sub
Palermo,Res
Barnsley,Res
Fulham,Res
Depor. Iquique,Sub
Huddersfield,Res
Tours FC,Sub
Lech Poznań,Sub
GIF Sundsvall,Sub
Brøndby IF,Sub
St. Pats,CAM
Leicester City,Res
San Luis,Sub
Chesterfield,Res
Lillestrøm SK,Sub
Sp. Charleroi,Res
Borgocalcio,Sub
Adelaide United,Sub
Parque Patricios,Res
Hamburger SV,Res
Le Havre AC,Res
Al Batin,Res
Vålerenga Fotball,Sub
Al Batin,Sub
Cittadella,Res
Patriotas,Sub
FC Rostov,Res
Helsingborgs IF,Res
Dundalk,Sub
FK Bodø/Glimt,Sub
Go Ahead Eagles,Res
GFC Ajaccio,Res
GFC Ajaccio,Res
GFC Ajaccio,Res
Al Qadisiyah,Res
AC Ajaccio,Sub
Wisła Płock,Sub
SV Mattersburg,Res
SV Darmstadt,Res
SV Darmstadt,Res
Sp. Charleroi,Res
RB Leipzig,Res
Yokohama F. Marinos,Sub
SKN St. Pölten,Sub
KV Oostende,Res
Fortaleza FC,Sub
Al-Ettifaq,Sub
Odds BK,Sub
Cracovia,Res
Deportivo Pasto,Res
WS Wanderers,Sub
Watford,Res
Aalborg BK,Sub
Walsall,Sub
Amiens SC,Res
Silkeborg IF,Sub
Amiens SC,Res
Free Agents,Res
Würzburger Kickers,Sub
Würzburger Kickers,Sub
Olym. Lyonnais,Res
La Equidad,LM
Sp. Charleroi,Res
Zulte-Waregem,Res
Suwon FC,Sub
FK Bodø/Glimt,Sub
La Spezia,Res
CD Cobresal,Sub
Bor. Dortmund,Res
Shonan Bellmare,Sub
Pohang Steelers,Sub
Union Berlin,Res
Boyacá Chicó,Sub
Korona Kielce,Sub
Ventforet Kofu,Sub
Avispa Fukuoka,Sub
Derry City,RB
Avispa Fukuoka,Res
Chelsea,Res
Iwata,Res
Iwata,Res
Lechia Gdańsk,Res
Yokohama F. Marinos,Sub
Iwata,Res
Yokohama F. Marinos,Sub
Yokohama F. Marinos,Sub
Omiya Ardija,Sub
Iwata,Res
Tigre,Res
Gamba Osaka,Res
Sanfrecce Hiroshima,Sub
Albirex Niigata,LM
Kashiwa Reysol,Sub
Vegalta Sendai,Sub
Perth Glory,Sub
Kalmar FF,Sub
Spurs,Res
Atlas,Res
Orlando City,Sub
Hamburger SV,Res
Al Khaleej,Sub
Fortaleza FC,Sub
Fortaleza FC,Sub
Central Coast,Sub
Brisbane Roar,Sub
Östersunds FK,Sub
SC Bastia,Res
Aalesunds FK,Sub
Wexford Youths,LM
Pescara,Res
Wexford Youths,LCB
Wexford Youths,GK
Fulham,Res
AJ Auxerre,Res
Spurs,Res
Cardiff City,Res
Aston Villa,Res
Cambridge Utd,Res
Gillingham,Sub
Stabæk Fotball,Sub
Chesterfield,RWB
Shamrock Rovers,Sub
FC Vaduz,Sub
Burnley,Res
Terni,Sub
Kilmarnock,Sub
CD Palestino,Res
QPR,Res
Kaiserslautern,Res
Puebla,Res
SV Ried,Res
Hartlepool,GK
KV Mechelen,Res
FC Nordsjælland,Sub
BK Häcken,Sub
FC Sion,Sub
Fulham,Res
Fulham,Res
Cardiff City,Res
Bradford City,Res
Dundee FC,Sub
Brentford,Res
Free Agents,Res
Blackburn Rovers,Res
Oldham Athletic,Sub
Sarpsborg 08 FF,Sub
Hammarby IF,Sub
Hammarby IF,Sub
FC Thun,Sub
KV Oostende,Res
Al Khaleej,Sub
Aberdeen,Sub
IK Start,Sub
AC Ajaccio,Sub
Wolfsberger AC,Sub
Carlisle United,Res
FK Haugesund,Sub
Silkeborg IF,Sub
Shrewsbury,Sub
Örebro SK,Sub
WS Wanderers,Res
Accrington,Res
Mansfield Town,Res
Houston Dynamo,Res
Djurgårdens IF,Res
Inverness CT,LCB
Millwall,Res
Sampdoria,Res
IFK Norrköping,Sub
Melbourne City,Sub
Stabæk Fotball,Sub
Portsmouth,Sub
Gillingham,RWB
Vercelli,Res
San Juan,Sub
CA Talleres,Sub
Motherwell,Sub
CD O'Higgins,Sub
Sydney FC,Sub
Brisigonza,Sub
Kilmarnock,Sub
Kilmarnock,Res
GIF Sundsvall,Sub
Doncaster,Sub
Yeovil Town,Sub
St. Pats,Sub
CD Antofagasta,Res
Longford Town,RB
Longford Town,Sub
Depor. Iquique,Res
Rubin Kazan,Res
Stevenage,Sub
Perth Glory,Sub
FC Lugano,Res
Tijuana,Res
Esbjerg fB,Sub
Newport County,Res
Accrington,Sub
Odense BK,Sub
Newport County,Res
FC St. Gallen,Sub
Seongnam FC,LM
Tijuana,Sub
St. Pats,Sub
Örebro SK,Sub
Galway United,Sub
Millwall,Res
CD O'Higgins,Res
FC Vaduz,Sub
Odds BK,Sub
Zenit,Res
Al-Ettifaq,Res
Bohemian FC,Res
Huddersfield,Sub
Luton Town,Sub
SønderjyskE,Res
Avellino,Sub
Colorado Rapids,Sub
Depor. Iquique,Res
Crewe Alexandra,Sub
Hartlepool,RW
Morecambe,RB
Al Taawoun,Res
Exeter City,Sub
Al Taawoun,Res
Yeovil Town,Sub
Al Nassr,Res
Crawley Town,Sub
GIF Sundsvall,Sub
Galway United,LB
Inverness CT,Sub
Cheltenham Town,Sub
Bohemian FC,ST
FC Sion,Res
Cittadella,Sub
FC Tokyo,Res
Atlético Huila,Res
FC Dallas,RM
La Equidad,Res
Korona Kielce,Sub
Al. Petrolera,Res
Albirex Niigata,Sub
Lyngby BK,Res
Orlando City,Res
Lillestrøm SK,Sub
CD Palestino,Res
Chicago Fire,Sub
Águilas Doradas,Res
Cardiff City,Res
Cardiff City,Res
Grimsby Town,Res
Brisbane Roar,Sub
Cracovia,Res
Patriotas,Res
Napoli,Res
Jaguares,Sub
Albirex Niigata,Res
SKN St. Pölten,LB
Hearts,Res
IFK Norrköping,Res
Notts County,Res
Kawasaki Front.,Res
NY Red Bulls,Res
Orlando City,Res
Hammarby IF,Sub
Portsmouth,Sub
Portland,Res
Whitecaps FC,Res
Deportivo Cali,Res
Uni. de Chile,Res
Hartlepool,Sub
Deportivo Cali,Sub
BK Häcken,Res
Belgrano,Res
Djurgårdens IF,Sub
Cittadella,Sub
San Juan,Res
Brisbane Roar,Res
Wisła Kraków,Sub
BSC Young Boys,Sub
FK Haugesund,Sub
Cesena,Res
Envigado,Sub
Randers FC,Res
Al Faisaly,Res
Fortaleza FC,Sub
Palermo,Res
Palermo,Res
Perugia,Res
SK Brann,Sub
1. FC Heidenheim,Sub
Novara,Sub
Boyacá Chicó,Sub
Hearts,Res
AFC Wimbledon,Res
Free Agents,Res
Free Agents,Res
Zagłębie Lubin,Res
Hartlepool,Sub
Trapani,Sub
Pisa,Sub
Salerno,Sub
Walsall,Sub
Millwall,Sub
CD Huachipato,Res
Spal,Res
Al Raed,Res
Al Raed,Res
SK Sturm Graz,Res
Djurgårdens IF,Res
Aston Villa,Res
Sydney FC,Sub
Sydney FC,Sub
HJK Helsinki,Sub
Al Fateh,Sub
SK Sturm Graz,Sub
ES Troyes AC,Sub
Hearts,Res
AC Ajaccio,Res
Molde FK,Sub
FC Thun,Sub
SCR Altach,Sub
Arminia Bielefeld,Res
Bari,Sub
Wycombe,Sub
Erzgebirge Aue,Sub
Sampdoria,Res
Pachuca,Sub
1899 Hoffenheim,Res
Korona Kielce,Res
Örebro SK,Sub
Kaiserslautern,Sub
AIK,Sub
1. FC Heidenheim,Sub
FC Luzern,Sub
FC Sochaux,Res
FC Sochaux,Res
Albirex Niigata,Sub
Watford,Res
Watford,Res
FC Lausanne,Sub
FC Vaduz,Res
FC Vaduz,Sub
Walsall,Res
Lyngby BK,Res
SKN St. Pölten,Sub
Randers FC,Sub
Olym. Lyonnais,Res
HJK Helsinki,Sub
Bournemouth,Res
Kashiwa Reysol,Res
Brisigonza,Res
Al Wehda,Sub
Hamilton,Res
Suwon FC,Sub
Molde FK,Sub
Grasshopper,Res
Mansfield Town,Res
Jönköpings Södra IF,Sub
IFK Norrköping,Res
Fortaleza FC,Sub
Burnley,Res
Strømsgodset IF,Res
SK Brann,Sub
Stade Brestois,Res
Al. Petrolera,Res
Finn Harps,RCM
Coventry City,Res
FC Nordsjælland,LCB
Shonan Bellmare,Res
Walsall,Res
Walsall,Res
AC Ajaccio,Res
Nagoya,Sub
Atlético Tucumán,Res
Boyacá Chicó,RB
Galway United,Sub
Avispa Fukuoka,Res
Kashiwa Reysol,Res
Al Nassr,Res
Sanfrecce Hiroshima,Res
Kashima Antlers,Res
Omiya Ardija,Sub
Sagan Tosu,Res
Al Hilal,Res
Al Hilal,Res
Gamba Osaka,Res
Sanfrecce Hiroshima,Res
Albirex Niigata,Sub
Albirex Niigata,Res
Nagoya,LM
Shonan Bellmare,Sub
Sanfrecce Hiroshima,Sub
Vegalta Sendai,Res
Atlético Bucaramanga,Sub
Urawa Diamonds,Res
GwangJu FC,Sub
SCR Altach,Res
Falkenbergs FF,Sub
IFK Göteborg,Sub
Sogndal,Sub
Sounders FC,Sub
Union Berlin,Res
Houston Dynamo,Sub
SCR Altach,Res
Aston Villa,Res
Mansfield Town,Res
Empoli,Res
Finn Harps,LB
Bristol City,Res
Al Khaleej,Sub
FC Sochaux,Res
Perth Glory,Sub
Bradford City,Res
Wexford Youths,LCM
Wexford Youths,Sub
Sarpsborg 08 FF,Sub
FC Vaduz,Sub
Bournemouth,Res
Well. Phoenix,Res
FC Midtjylland,Res
Al Fateh,Res
Motherwell,LCB
Rosenborg BK,Sub
Legia Warszawa,Res
FC Rostov,Res
FC Nordsjælland,Sub
Portsmouth,Res
Stevenage,Sub
Mansfield Town,Res
Viking FK,Sub
GIF Sundsvall,Sub
VfL Bochum,Res
Pogoń Szczecin,Sub
Bristol Rovers,Sub
Accrington,Sub
Notts County,Sub
Pogoń Szczecin,Sub
Jagiellonia,Res
BSC Young Boys,Res
Accrington,Res
Strømsgodset IF,Sub
WS Wanderers,Sub
AFC Wimbledon,Res
Djurgårdens IF,Sub
Deportivo Pasto,Res
Derby County,Res
Celtic,Res
Korona Kielce,Sub
Derry City,Sub
SC Bastia,Res
Al Faisaly,Sub
Hamilton,Res
Finn Harps,Sub
Stevenage,Sub
CD Palestino,Sub
Bournemouth,Res
Latina,Res
Stabæk Fotball,Sub
St. Johnstone,Sub
Sligo Rovers,GK
Dundee FC,Res
Dundee FC,Sub
Motherwell,Res
Motherwell,Res
Temperley,Res
Brisbane Roar,Res
Galway United,LS
Admira Wacker,Res
Dynamo Dresden,Res
Al Khaleej,Sub
Al Qadisiyah,Res
Perugia,Sub
Vercelli,Res
Kalmar FF,Res
Hamilton,Sub
Partick Thistle,Res
Bohemian FC,Sub
Portsmouth,Sub
Aalesunds FK,RS
Al Ahli,Res
Adelaide United,Sub
Sogndal,Sub
Bohemian FC,Sub
Cracovia,Sub
Burnley,Res
1899 Hoffenheim,Res
Al Ahli,Sub
SK Brann,Sub
Bray Wanderers,Sub
Sligo Rovers,LB
FC St. Pauli,Res
OGC Nice,Res
Chesterfield,Res
Walsall,Sub
Falkenbergs FF,Sub
Pohang Steelers,GK
Sligo Rovers,LCB
Finn Harps,GK
Stoke City,Res
Exeter City,Sub
BSC Young Boys,Sub
Charlton Ath,Sub
Fleetwood Town,Sub
Zagłębie Lubin,Res
Jagiellonia,Sub
Shrewsbury,Res
Górnik Łęczna,Sub
Novara,Res
Envigado,Sub
Sogndal,Sub
Derry City,Sub
Manchester Utd,Res
Derby County,Res
St. Johnstone,Sub
Coventry City,Sub
Śląsk Wrocław,Sub
SV Sandhausen,Sub
Al Khaleej,Sub
Free Agents,Res
Wexford Youths,RM
Bray Wanderers,Sub
Bradford City,Res
Górnik Łęczna,Sub
FC Vaduz,Sub
Red Star FC,Res
Bray Wanderers,Sub
Galway United,GK
Longford Town,CDM
Nagoya,Sub
Longford Town,GK
FC Lausanne,Sub
Barnet,Sub
Newport County,Sub
Port Vale,GK
GwangJu FC,Res
GwangJu FC,Sub
Envigado,Res
Atlético Bucaramanga,Res
Yokohama F. Marinos,Res
Austria Wien,Res
St. Pats,Sub
Patriotas,Res
Wisła Płock,Res
Borgocalcio,Res
Austria Wien,Sub
Fenerbahçe,Res
AC Ajaccio,Sub
SønderjyskE,Res
NY Red Bulls,Res
Viking FK,Sub
Nîmes Olympique,Res
NY Red Bulls,Res
Wisła Kraków,Res
SD Huesca,Res
RB Salzburg,Sub
Philadelphia,Res
Colorado Rapids,Sub
Bohemian FC,LCB
LA Galaxy,Sub
Cambridge Utd,Sub
Iwata,Res
Iwata,Res
Colorado Rapids,Res
Inverness CT,Res
Al Shabab,Sub
AC Horsens,Sub
Real Salt Lake,Sub
Depor. Iquique,Res
Águilas Doradas,Res
FC Luzern,Res
Exeter City,Res
Falkenbergs FF,Sub
